Run;MethodName;Duration(ms)
38;UpdateParentWithChildren;11.9581
38;DeleteParentWithChildren;23.7456
39;InsertParentWithChildren;22.9899
39;GetParentsWithChildren;2.1205
39;UpdateParentWithChildren;18.6225
39;DeleteParentWithChildren;20.7947
40;InsertParentWithChildren;20.4831
40;GetParentsWithChildren;2.0159
40;UpdateParentWithChildren;18.8104
40;DeleteParentWithChildren;20.5975
41;InsertParentWithChildren;20.7218
41;GetParentsWithChildren;1.9214
41;UpdateParentWithChildren;36.3640
41;DeleteParentWithChildren;23.7872
42;InsertParentWithChildren;14.4061
42;GetParentsWithChildren;2.0705
42;UpdateParentWithChildren;21.7191
42;DeleteParentWithChildren;21.7634
43;InsertParentWithChildren;21.4714
43;GetParentsWithChildren;1.9202
43;UpdateParentWithChildren;19.2607
43;DeleteParentWithChildren;20.8899
44;InsertParentWithChildren;10.2717
44;GetParentsWithChildren;1.8081
44;UpdateParentWithChildren;20.2864
44;DeleteParentWithChildren;22.9874
45;InsertParentWithChildren;12.9750
45;GetParentsWithChildren;2.1370
45;UpdateParentWithChildren;20.1721
45;DeleteParentWithChildren;21.9841
46;InsertParentWithChildren;33.4301
46;GetParentsWithChildren;1.8333
46;UpdateParentWithChildren;20.0120
46;DeleteParentWithChildren;39.4434
47;InsertParentWithChildren;21.3018
47;GetParentsWithChildren;1.6583
47;UpdateParentWithChildren;19.5672
47;DeleteParentWithChildren;20.7491
48;InsertParentWithChildren;19.6467
48;GetParentsWithChildren;2.1477
48;UpdateParentWithChildren;18.6054
48;DeleteParentWithChildren;20.5695
49;InsertParentWithChildren;20.0422
49;GetParentsWithChildren;1.8496
49;UpdateParentWithChildren;19.5103
49;DeleteParentWithChildren;29.1366
50;InsertParentWithChildren;26.8073
50;GetParentsWithChildren;2.2579
50;UpdateParentWithChildren;16.7533
50;DeleteParentWithChildren;10.9456
51;InsertParentWithChildren;20.1317
51;GetParentsWithChildren;1.7344
51;UpdateParentWithChildren;18.1105
51;DeleteParentWithChildren;19.9238
52;InsertParentWithChildren;36.8556
52;GetParentsWithChildren;1.7832
52;UpdateParentWithChildren;19.6442
52;DeleteParentWithChildren;21.5830
53;InsertParentWithChildren;21.7657
53;GetParentsWithChildren;2.0435
53;UpdateParentWithChildren;10.8349
53;DeleteParentWithChildren;12.3474
54;InsertParentWithChildren;21.0303
54;GetParentsWithChildren;1.8353
54;UpdateParentWithChildren;10.5600
54;DeleteParentWithChildren;20.4040
55;InsertParentWithChildren;11.3844
55;GetParentsWithChildren;1.6888
55;UpdateParentWithChildren;10.4738
55;DeleteParentWithChildren;21.3930
56;InsertParentWithChildren;11.6265
56;GetParentsWithChildren;2.1790
56;UpdateParentWithChildren;11.1351
56;DeleteParentWithChildren;55.3693
57;InsertParentWithChildren;20.5649
57;GetParentsWithChildren;1.6749
57;UpdateParentWithChildren;20.4808
57;DeleteParentWithChildren;21.3688
58;InsertParentWithChildren;20.8130
58;GetParentsWithChildren;1.7038
58;UpdateParentWithChildren;10.8832
58;DeleteParentWithChildren;21.8640
59;InsertParentWithChildren;20.7926
59;GetParentsWithChildren;1.8880
59;UpdateParentWithChildren;19.3022
59;DeleteParentWithChildren;22.1206
60;InsertParentWithChildren;20.4453
60;GetParentsWithChildren;2.0105
60;UpdateParentWithChildren;18.6938
60;DeleteParentWithChildren;21.3425
61;InsertParentWithChildren;20.4108
61;GetParentsWithChildren;1.6926
61;UpdateParentWithChildren;19.1188
61;DeleteParentWithChildren;20.6675
62;InsertParentWithChildren;35.5537
62;GetParentsWithChildren;1.5310
62;UpdateParentWithChildren;20.4667
