Run;MethodName;Duration(ms);MemoryUsed(bytes)
33;InsertParentWithChildren;7,0184;24648
33;GetParentsWithChildren;0,7546;16448
33;UpdateParentWithChildren;5,8045;24584
33;DeleteParentWithChildren;2,9015;16448
34;InsertParentWithChildren;5,1810;24648
34;GetParentsWithChildren;0,6888;16448
34;UpdateParentWithChildren;3,6243;24584
34;DeleteParentWithChildren;6,9382;16448
35;InsertParentWithChildren;4,8322;24648
35;GetParentsWithChildren;0,5874;16448
35;UpdateParentWithChildren;3,7078;24584
35;DeleteParentWithChildren;3,9732;16448
36;InsertParentWithChildren;5,2136;24648
36;GetParentsWithChildren;0,6634;16448
36;UpdateParentWithChildren;6,7457;24584
36;DeleteParentWithChildren;5,8125;16448
37;InsertParentWithChildren;5,2788;24648
37;GetParentsWithChildren;0,6096;16448
37;UpdateParentWithChildren;6,8379;24584
37;DeleteParentWithChildren;5,4192;16448
38;InsertParentWithChildren;6,2650;24648
38;GetParentsWithChildren;0,7608;16448
38;UpdateParentWithChildren;6,5858;24584
38;DeleteParentWithChildren;2,9042;16448
39;InsertParentWithChildren;8,2818;24648
39;GetParentsWithChildren;0,7669;16448
39;UpdateParentWithChildren;5,7843;28632
39;DeleteParentWithChildren;3,1550;16448
40;InsertParentWithChildren;6,0413;24648
40;GetParentsWithChildren;0,8182;16448
40;UpdateParentWithChildren;5,3505;24584
40;DeleteParentWithChildren;3,1906;16448
41;InsertParentWithChildren;4,5041;24648
41;GetParentsWithChildren;0,7333;16448
41;UpdateParentWithChildren;5,9138;24584
41;DeleteParentWithChildren;4,7044;16448
42;InsertParentWithChildren;5,3996;24648
42;GetParentsWithChildren;0,7230;16448
42;UpdateParentWithChildren;5,6049;41032
42;DeleteParentWithChildren;5,7713;16448
43;InsertParentWithChildren;5,3799;24648
43;GetParentsWithChildren;0,8698;16448
43;UpdateParentWithChildren;6,9656;24584
43;DeleteParentWithChildren;3,0656;16448
44;InsertParentWithChildren;5,3560;24648
44;GetParentsWithChildren;0,8973;16448
44;UpdateParentWithChildren;6,0323;28632
44;DeleteParentWithChildren;3,9484;16448
45;InsertParentWithChildren;6,8821;24648
45;GetParentsWithChildren;1,1237;16448
45;UpdateParentWithChildren;6,2883;24584
45;DeleteParentWithChildren;4,2654;16448
46;InsertParentWithChildren;3,6476;24648
46;GetParentsWithChildren;0,9852;16448
46;UpdateParentWithChildren;5,5649;24584
46;DeleteParentWithChildren;3,9781;16448
47;InsertParentWithChildren;5,7656;24648
47;GetParentsWithChildren;0,8501;16448
47;UpdateParentWithChildren;5,1878;24584
47;DeleteParentWithChildren;6,0849;16448
48;InsertParentWithChildren;5,7192;24648
48;GetParentsWithChildren;0,5746;16448
48;UpdateParentWithChildren;5,0901;24584
48;DeleteParentWithChildren;4,6495;16448
49;InsertParentWithChildren;3,1746;24648
49;GetParentsWithChildren;0,5725;16448
49;UpdateParentWithChildren;4,7814;24584
49;DeleteParentWithChildren;2,5780;16448
50;InsertParentWithChildren;6,2487;24648
50;GetParentsWithChildren;0,6661;16448
50;UpdateParentWithChildren;4,8176;24584
50;DeleteParentWithChildren;3,2309;16448
51;InsertParentWithChildren;4,9806;24648
51;GetParentsWithChildren;0,7924;16448
51;UpdateParentWithChildren;5,9241;24584
51;DeleteParentWithChildren;4,2105;16448
52;InsertParentWithChildren;3,2009;24648
52;GetParentsWithChildren;0,5762;16448
52;UpdateParentWithChildren;5,2579;24584
52;DeleteParentWithChildren;4,0869;16448
53;InsertParentWithChildren;5,1602;24648
53;GetParentsWithChildren;0,5823;16448
53;UpdateParentWithChildren;5,5351;24584
53;DeleteParentWithChildren;5,4291;16448
54;InsertParentWithChildren;4,7135;24648
54;GetParentsWithChildren;0,6808;16448
54;UpdateParentWithChildren;4,7853;24672
54;DeleteParentWithChildren;2,7592;16448
55;InsertParentWithChildren;6,3400;24648
55;GetParentsWithChildren;0,8679;16448
55;UpdateParentWithChildren;4,7975;24584
55;DeleteParentWithChildren;3,0064;16448
56;InsertParentWithChildren;6,1223;24648
56;GetParentsWithChildren;0,7721;16448
56;UpdateParentWithChildren;5,4660;24584
56;DeleteParentWithChildren;2,5192;16448
57;InsertParentWithChildren;3,6668;24648
57;GetParentsWithChildren;0,6922;16448
57;UpdateParentWithChildren;4,8376;24584
57;DeleteParentWithChildren;5,7057;16448
58;InsertParentWithChildren;6,1756;24648
58;GetParentsWithChildren;0,7331;16448
58;UpdateParentWithChildren;4,5039;24584
58;DeleteParentWithChildren;5,9599;16448
59;InsertParentWithChildren;5,3925;24648
59;GetParentsWithChildren;1,0515;16448
59;UpdateParentWithChildren;4,7746;24584
59;DeleteParentWithChildren;6,2781;16448
60;InsertParentWithChildren;5,5385;24648
60;GetParentsWithChildren;0,6412;16448
60;UpdateParentWithChildren;5,1418;24584
60;DeleteParentWithChildren;4,5006;16448
61;InsertParentWithChildren;5,1399;24648
61;GetParentsWithChildren;0,6543;16448
61;UpdateParentWithChildren;7,2805;24584
61;DeleteParentWithChildren;5,8086;16448
62;InsertParentWithChildren;6,3812;24648
62;GetParentsWithChildren;0,6912;16448
62;UpdateParentWithChildren;6,4105;24584
62;DeleteParentWithChildren;4,1023;16448
63;InsertParentWithChildren;6,4004;24648
63;GetParentsWithChildren;0,6249;16448
63;UpdateParentWithChildren;6,5326;24584
63;DeleteParentWithChildren;2,7188;16448
64;InsertParentWithChildren;6,2785;24648
64;GetParentsWithChildren;0,6351;16448
64;UpdateParentWithChildren;5,0331;24584
64;DeleteParentWithChildren;3,7525;16448
65;InsertParentWithChildren;5,1002;24648
65;GetParentsWithChildren;0,7032;16448
65;UpdateParentWithChildren;6,3637;24584
65;DeleteParentWithChildren;4,2173;16448
66;InsertParentWithChildren;5,2337;24648
66;GetParentsWithChildren;0,7615;16448
66;UpdateParentWithChildren;6,0977;24584
66;DeleteParentWithChildren;5,2255;16448
67;InsertParentWithChildren;5,1102;24648
67;GetParentsWithChildren;0,7476;16448
67;UpdateParentWithChildren;5,0880;24584
67;DeleteParentWithChildren;2,6503;16448
68;InsertParentWithChildren;5,3422;24648
68;GetParentsWithChildren;0,7919;16448
68;UpdateParentWithChildren;6,5405;24584
68;DeleteParentWithChildren;7,1946;16448
69;InsertParentWithChildren;8,7640;24648
69;GetParentsWithChildren;1,0934;16448
69;UpdateParentWithChildren;7,6319;24584
69;DeleteParentWithChildren;4,2080;16448
70;InsertParentWithChildren;4,1617;24648
70;GetParentsWithChildren;0,7525;16448
70;UpdateParentWithChildren;5,8359;24584
70;DeleteParentWithChildren;5,8112;16448
71;InsertParentWithChildren;3,6381;24648
71;GetParentsWithChildren;0,7806;16448
71;UpdateParentWithChildren;5,4836;24584
71;DeleteParentWithChildren;7,2499;16448
72;InsertParentWithChildren;5,2148;24648
72;GetParentsWithChildren;0,7451;16448
72;UpdateParentWithChildren;4,7186;24584
72;DeleteParentWithChildren;3,9174;16448
73;InsertParentWithChildren;6,1240;24648
73;GetParentsWithChildren;1,1872;16448
73;UpdateParentWithChildren;8,0177;24584
73;DeleteParentWithChildren;3,4190;16448
74;InsertParentWithChildren;5,5701;24648
74;GetParentsWithChildren;0,7792;16448
74;UpdateParentWithChildren;5,0719;24584
74;DeleteParentWithChildren;2,6951;16448
75;InsertParentWithChildren;5,1917;24648
75;GetParentsWithChildren;0,7190;16448
75;UpdateParentWithChildren;5,9336;28632
75;DeleteParentWithChildren;4,0701;16448
76;InsertParentWithChildren;6,6668;24648
76;GetParentsWithChildren;0,6992;16448
76;UpdateParentWithChildren;6,1525;24584
76;DeleteParentWithChildren;4,2412;16448
77;InsertParentWithChildren;6,0887;24648
77;GetParentsWithChildren;0,6917;16448
77;UpdateParentWithChildren;5,6028;28632
77;DeleteParentWithChildren;3,1793;16448
78;InsertParentWithChildren;4,9225;24648
78;GetParentsWithChildren;0,8588;16448
78;UpdateParentWithChildren;4,8718;24584
78;DeleteParentWithChildren;4,5189;16448
79;InsertParentWithChildren;6,5441;24648
79;GetParentsWithChildren;0,8926;16448
79;UpdateParentWithChildren;4,9454;24584
79;DeleteParentWithChildren;2,7609;16448
80;InsertParentWithChildren;6,0252;24672
80;GetParentsWithChildren;0,7471;16448
80;UpdateParentWithChildren;6,0943;24584
80;DeleteParentWithChildren;7,4059;16448
81;InsertParentWithChildren;7,4485;24648
81;GetParentsWithChildren;0,9339;16448
81;UpdateParentWithChildren;5,8713;24584
81;DeleteParentWithChildren;4,5866;16448
82;InsertParentWithChildren;5,7432;24648
82;GetParentsWithChildren;0,9623;16448
82;UpdateParentWithChildren;5,5756;24584
82;DeleteParentWithChildren;6,8033;16448
83;InsertParentWithChildren;5,2287;24648
83;GetParentsWithChildren;0,6689;16448
83;UpdateParentWithChildren;4,0062;24584
83;DeleteParentWithChildren;4,2212;16448
84;InsertParentWithChildren;6,2712;24648
84;GetParentsWithChildren;0,7028;16448
84;UpdateParentWithChildren;5,3754;24584
84;DeleteParentWithChildren;4,0826;16448
85;InsertParentWithChildren;4,0310;24648
85;GetParentsWithChildren;0,8444;16448
85;UpdateParentWithChildren;5,8940;24584
85;DeleteParentWithChildren;4,4256;16448
86;InsertParentWithChildren;4,5249;24648
86;GetParentsWithChildren;0,7375;16448
86;UpdateParentWithChildren;5,2834;24584
86;DeleteParentWithChildren;6,0469;16448
87;InsertParentWithChildren;5,4919;24648
87;GetParentsWithChildren;0,6363;16448
87;UpdateParentWithChildren;4,3660;24584
87;DeleteParentWithChildren;4,6992;16448
88;InsertParentWithChildren;4,5433;24648
88;GetParentsWithChildren;0,5592;16448
