Run;MethodName;Duration(ms);MemoryUsed(bytes)
33;InsertParentWithChildren;5,1040;49224
33;GetParentsWithChildren;1,0336;24632
33;UpdateParentWithChildren;4,9128;53176
33;DeleteParentWithChildren;5,5128;57264
34;InsertParentWithChildren;6,4684;49224
34;GetParentsWithChildren;0,9690;24632
34;UpdateParentWithChildren;5,2388;53176
34;DeleteParentWithChildren;3,5317;57264
35;InsertParentWithChildren;5,0395;49224
35;GetParentsWithChildren;1,0618;24632
35;UpdateParentWithChildren;4,8081;53176
35;DeleteParentWithChildren;4,0101;57264
36;InsertParentWithChildren;4,8456;49224
36;GetParentsWithChildren;0,9829;24632
36;UpdateParentWithChildren;4,6796;53176
36;DeleteParentWithChildren;4,9101;57264
37;InsertParentWithChildren;5,2270;49224
37;GetParentsWithChildren;1,0080;24632
37;UpdateParentWithChildren;4,6358;53176
37;DeleteParentWithChildren;4,7966;57264
38;InsertParentWithChildren;4,9237;49224
38;GetParentsWithChildren;0,9890;24632
38;UpdateParentWithChildren;4,5144;53176
38;DeleteParentWithChildren;4,0640;57264
39;InsertParentWithChildren;4,4059;49224
39;GetParentsWithChildren;0,8216;24632
39;UpdateParentWithChildren;4,6708;49256
39;DeleteParentWithChildren;4,7769;57264
40;InsertParentWithChildren;5,1932;49224
40;GetParentsWithChildren;1,0133;24632
40;UpdateParentWithChildren;4,6017;49256
40;DeleteParentWithChildren;4,6537;57264
41;InsertParentWithChildren;4,6085;49224
41;GetParentsWithChildren;0,8071;24632
41;UpdateParentWithChildren;4,4086;49256
41;DeleteParentWithChildren;3,9911;57264
42;InsertParentWithChildren;4,9622;49224
42;GetParentsWithChildren;0,8516;24632
42;UpdateParentWithChildren;5,3855;49256
42;DeleteParentWithChildren;3,2618;57264
43;InsertParentWithChildren;4,3152;49224
43;GetParentsWithChildren;0,9398;24632
43;UpdateParentWithChildren;4,4555;49256
43;DeleteParentWithChildren;3,3431;57264
44;InsertParentWithChildren;4,6214;49224
44;GetParentsWithChildren;0,8120;24632
44;UpdateParentWithChildren;4,4159;53176
44;DeleteParentWithChildren;3,4840;57264
45;InsertParentWithChildren;4,7124;57448
45;GetParentsWithChildren;0,9647;24632
45;UpdateParentWithChildren;5,0045;53176
45;DeleteParentWithChildren;5,5359;57264
46;InsertParentWithChildren;5,7868;49224
46;GetParentsWithChildren;1,0678;24632
46;UpdateParentWithChildren;4,7972;53176
46;DeleteParentWithChildren;3,4567;57264
47;InsertParentWithChildren;4,9244;49224
47;GetParentsWithChildren;0,8046;24632
47;UpdateParentWithChildren;4,0428;53176
47;DeleteParentWithChildren;3,7978;57264
48;InsertParentWithChildren;4,5353;49224
48;GetParentsWithChildren;0,8207;24632
48;UpdateParentWithChildren;4,5673;53176
48;DeleteParentWithChildren;3,6616;57264
49;InsertParentWithChildren;4,5524;49224
49;GetParentsWithChildren;0,8762;24632
49;UpdateParentWithChildren;4,7770;53176
49;DeleteParentWithChildren;4,6105;57264
50;InsertParentWithChildren;5,7901;49224
50;GetParentsWithChildren;0,9828;24632
50;UpdateParentWithChildren;5,0221;53176
50;DeleteParentWithChildren;5,8052;57264
51;InsertParentWithChildren;5,6788;49224
51;GetParentsWithChildren;1,0140;24632
51;UpdateParentWithChildren;4,9588;53176
51;DeleteParentWithChildren;4,9029;57264
52;InsertParentWithChildren;5,4801;49224
52;GetParentsWithChildren;0,8772;24632
52;UpdateParentWithChildren;3,3967;53176
52;DeleteParentWithChildren;4,9024;57264
53;InsertParentWithChildren;4,6662;49224
53;GetParentsWithChildren;0,8138;24632
53;UpdateParentWithChildren;4,7986;53176
53;DeleteParentWithChildren;3,6893;57264
54;InsertParentWithChildren;4,2264;49224
54;GetParentsWithChildren;1,0594;24632
54;UpdateParentWithChildren;4,5004;49256
54;DeleteParentWithChildren;3,4447;57264
55;InsertParentWithChildren;4,7140;49224
55;GetParentsWithChildren;0,9270;24632
55;UpdateParentWithChildren;4,3177;49256
55;DeleteParentWithChildren;3,4551;57264
56;InsertParentWithChildren;4,5322;49224
56;GetParentsWithChildren;1,0278;24632
56;UpdateParentWithChildren;4,6613;49256
56;DeleteParentWithChildren;5,0789;57264
57;InsertParentWithChildren;5,5753;49224
57;GetParentsWithChildren;0,9665;24632
57;UpdateParentWithChildren;4,8186;49256
57;DeleteParentWithChildren;5,0595;57264
58;InsertParentWithChildren;5,2429;49224
58;GetParentsWithChildren;1,0793;24632
58;UpdateParentWithChildren;4,7772;53176
58;DeleteParentWithChildren;4,1413;57264
59;InsertParentWithChildren;5,0881;49224
59;GetParentsWithChildren;0,8741;24632
59;UpdateParentWithChildren;5,5250;53176
59;DeleteParentWithChildren;5,3762;57264
60;InsertParentWithChildren;5,7659;49224
60;GetParentsWithChildren;1,0040;24632
60;UpdateParentWithChildren;4,5879;53176
60;DeleteParentWithChildren;3,4728;57264
61;InsertParentWithChildren;5,1308;49224
61;GetParentsWithChildren;0,9385;24632
61;UpdateParentWithChildren;4,8428;53176
61;DeleteParentWithChildren;3,8257;57264
62;InsertParentWithChildren;4,4794;49224
62;GetParentsWithChildren;0,7557;24632
62;UpdateParentWithChildren;5,3713;53176
62;DeleteParentWithChildren;5,0191;57264
63;InsertParentWithChildren;5,8389;49224
63;GetParentsWithChildren;1,0674;24632
63;UpdateParentWithChildren;4,4074;53176
63;DeleteParentWithChildren;5,2764;57264
64;InsertParentWithChildren;4,5461;49224
64;GetParentsWithChildren;0,8290;24632
64;UpdateParentWithChildren;4,3430;53176
64;DeleteParentWithChildren;4,0367;57264
65;InsertParentWithChildren;5,2137;49224
65;GetParentsWithChildren;1,1601;24632
65;UpdateParentWithChildren;4,8024;53176
65;DeleteParentWithChildren;5,0178;57264
66;InsertParentWithChildren;5,9218;49224
66;GetParentsWithChildren;1,0733;24632
66;UpdateParentWithChildren;5,0274;53176
66;DeleteParentWithChildren;3,8792;57264
67;InsertParentWithChildren;5,5099;49224
67;GetParentsWithChildren;1,2943;24632
67;UpdateParentWithChildren;5,6611;53176
67;DeleteParentWithChildren;5,7965;57264
68;InsertParentWithChildren;5,0349;49224
68;GetParentsWithChildren;0,9594;24632
68;UpdateParentWithChildren;5,1791;53176
68;DeleteParentWithChildren;3,8239;57264
69;InsertParentWithChildren;5,2082;49224
69;GetParentsWithChildren;1,0671;24632
69;UpdateParentWithChildren;4,9354;49256
69;DeleteParentWithChildren;4,7215;57264
70;InsertParentWithChildren;5,6480;49224
70;GetParentsWithChildren;0,9563;24632
70;UpdateParentWithChildren;5,0386;49256
70;DeleteParentWithChildren;4,1080;57264
71;InsertParentWithChildren;5,1203;49224
71;GetParentsWithChildren;1,1682;24632
71;UpdateParentWithChildren;4,8055;49280
71;DeleteParentWithChildren;5,0801;57288
72;InsertParentWithChildren;5,4941;49224
72;GetParentsWithChildren;0,9674;24632
72;UpdateParentWithChildren;4,5174;49280
72;DeleteParentWithChildren;4,9228;57288
73;InsertParentWithChildren;4,4992;49224
73;GetParentsWithChildren;0,9487;24632
73;UpdateParentWithChildren;4,8101;49280
73;DeleteParentWithChildren;3,3560;57288
74;InsertParentWithChildren;4,9200;49224
74;GetParentsWithChildren;0,9989;24632
74;UpdateParentWithChildren;4,8989;49280
74;DeleteParentWithChildren;6,1702;57288
75;InsertParentWithChildren;5,3287;49224
75;GetParentsWithChildren;0,8043;24632
75;UpdateParentWithChildren;4,7099;53176
75;DeleteParentWithChildren;5,0221;57288
76;InsertParentWithChildren;4,9179;49224
76;GetParentsWithChildren;1,0365;24632
76;UpdateParentWithChildren;4,7095;53176
76;DeleteParentWithChildren;3,4845;57288
77;InsertParentWithChildren;4,8280;49224
77;GetParentsWithChildren;0,8751;24632
77;UpdateParentWithChildren;4,2786;53176
77;DeleteParentWithChildren;5,1695;57288
78;InsertParentWithChildren;5,0911;49224
78;GetParentsWithChildren;0,9498;24632
78;UpdateParentWithChildren;5,0620;53176
78;DeleteParentWithChildren;5,0160;57288
79;InsertParentWithChildren;5,3792;49224
79;GetParentsWithChildren;0,8558;24632
79;UpdateParentWithChildren;4,2758;53176
79;DeleteParentWithChildren;3,8316;57288
80;InsertParentWithChildren;4,7255;49224
80;GetParentsWithChildren;1,0066;24632
80;UpdateParentWithChildren;4,9369;53176
80;DeleteParentWithChildren;5,4864;57288
81;InsertParentWithChildren;7,6007;49224
81;GetParentsWithChildren;1,5557;24632
81;UpdateParentWithChildren;5,0002;53176
81;DeleteParentWithChildren;5,6776;57288
82;InsertParentWithChildren;7,3331;49224
